name,latitude,longitude,pga_median_g,pga_mean_g,pga_std_g,pga_p05_g,pga_p16_g,pga_p50_g,pga_p84_g,pga_p95_g,prob_pga_gt_0.1g,prob_pga_gt_0.2g,prob_pga_gt_0.5g
Dam near 21.74N 95.85E,21.739152,95.846709,0.3243,0.405,0.2804,0.1198,0.1756,0.3243,0.621,0.9445,0.975,0.782,0.26
Dam near 21.77N 95.89E,21.773814,95.892268,0.4663,0.5835,0.4296,0.1581,0.2395,0.4663,0.9209,1.4053,0.991,0.897,0.471
Dam near 21.47N 95.87E,21.468135,95.8671,0.3714,0.4648,0.3379,0.1354,0.2062,0.3714,0.7041,1.1363,0.982,0.847,0.331
Dam near 18.65N 95.25E,18.651777,95.252143,0.0506,0.0637,0.0465,0.0176,0.026,0.0506,0.0989,0.1487,0.157,0.019,0.0
Dam near 20.58N 96.17E,20.583214,96.169439,0.1701,0.2136,0.1606,0.0573,0.0938,0.1701,0.3228,0.48,0.815,0.404,0.049
Dam near 22.09N 95.86E,22.09474,95.862392,0.3793,0.462,0.3438,0.1343,0.1993,0.3793,0.6888,1.1072,0.987,0.837,0.319
Dam near 20.77N 95.35E,20.768534,95.35271,0.081,0.1017,0.0726,0.0282,0.0429,0.081,0.1606,0.2406,0.385,0.088,0.002
Dam near 20.76N 95.36E,20.762818,95.355246,0.081,0.1005,0.0687,0.0285,0.0424,0.081,0.1602,0.2438,0.385,0.092,0.001
Dam near 20.74N 95.38E,20.740185,95.383724,0.0855,0.1045,0.0718,0.0305,0.0455,0.0855,0.1601,0.2537,0.415,0.093,0.001
Dam near 20.76N 95.39E,20.758838,95.386066,0.0863,0.106,0.0724,0.0288,0.0455,0.0863,0.1695,0.2551,0.41,0.105,0.002
Dam near 20.75N 95.40E,20.751761,95.400055,0.0884,0.1093,0.0782,0.031,0.047,0.0884,0.1675,0.2641,0.435,0.11,0.002
Dam near 20.72N 95.42E,20.720078,95.424149,0.0885,0.1063,0.0727,0.0315,0.0476,0.0885,0.1645,0.2364,0.424,0.084,0.004
Dam near 21.55N 95.54E,21.546729,95.540688,0.1152,0.1446,0.1068,0.0405,0.0611,0.1152,0.2272,0.3482,0.578,0.215,0.013
Dam near 21.51N 95.53E,21.505946,95.534877,0.1128,0.1373,0.0935,0.0398,0.0586,0.1128,0.2147,0.3175,0.573,0.189,0.007
Dam near 21.39N 95.52E,21.385758,95.518783,0.1044,0.1353,0.1017,0.0381,0.0587,0.1044,0.2099,0.329,0.525,0.177,0.013
Dam near 20.87N 94.37E,20.869511,94.367835,0.0332,0.0404,0.0271,0.011,0.0171,0.0332,0.0635,0.0945,0.04,0.001,0.0
Dam near 18.28N 95.86E,18.281025,95.855019,0.0845,0.104,0.0735,0.0278,0.0451,0.0845,0.1619,0.2484,0.389,0.096,0.001
Dam near 17.62N 96.01E,17.623217,96.014876,0.0999,0.1238,0.091,0.0342,0.0534,0.0999,0.1957,0.2825,0.5,0.151,0.007
Dam near 17.55N 96.37E,17.548282,96.366141,0.2873,0.3445,0.244,0.0966,0.1572,0.2873,0.515,0.7746,0.946,0.738,0.174
Lower Nam Pawn,19.480045,97.417853,0.0429,0.0546,0.0396,0.0157,0.0234,0.0429,0.0818,0.131,0.103,0.01,0.0
Mobyè,19.792636,97.097256,0.0604,0.0761,0.059,0.02,0.0314,0.0604,0.1153,0.1845,0.238,0.041,0.001
Nam Hka,22.056938,98.772066,0.0144,0.0173,0.0122,0.0048,0.0071,0.0144,0.0263,0.0403,0.0,0.0,0.0
Ngwedaung,19.555742,97.163331,0.0569,0.0692,0.047,0.0211,0.0305,0.0569,0.1075,0.1569,0.192,0.022,0.0
Shwenattaung,16.411455,97.657402,0.045,0.0565,0.042,0.0161,0.0231,0.045,0.0878,0.139,0.125,0.015,0.0
Upper Baluchaung 1,20.478991,96.689153,0.0712,0.0872,0.0604,0.0247,0.0369,0.0712,0.1353,0.2052,0.302,0.064,0.001
Upper Haw Kham,19.177977,97.344749,0.0502,0.0625,0.0466,0.0164,0.0244,0.0502,0.0988,0.1542,0.156,0.023,0.0
Upper Nam Pawn,19.995674,97.40098,0.0416,0.0513,0.0367,0.0146,0.0216,0.0416,0.0767,0.1181,0.093,0.005,0.0
Upper Salween,23.423472,98.601643,0.0163,0.0204,0.0154,0.0055,0.0081,0.0163,0.031,0.0488,0.003,0.0,0.0
Wanpon,20.938172,97.648021,0.0301,0.0375,0.029,0.01,0.0152,0.0301,0.0575,0.089,0.037,0.005,0.0
Weigyi,18.632617,97.359484,0.0536,0.0668,0.0486,0.0192,0.0277,0.0536,0.1031,0.158,0.168,0.025,0.0
Ywathit,19.777904,97.732943,0.0324,0.0409,0.0302,0.0102,0.0165,0.0324,0.0652,0.0957,0.045,0.005,0.0
Baluchaung Dam,19.572117,97.31465,0.0497,0.062,0.049,0.0178,0.0267,0.0497,0.0963,0.1383,0.142,0.012,0.001
