name,status,function,river,state,latitude,longitude,height_m,capacity_mw,storage_mcm,dist_to_major_km,dist_to_fault_km,vs30,pga_g,seismic_score,fault_score,proximity_score,exposure_score,composite_risk,risk_grade,return_period_m6_yrs
South Yamar,Complete,Irrigation,Yamar Taung,,21.821946,94.736177,0.0,,21.027,510.3,131.2,760,0.0419,8.4,0.8,1.0,10.0,4.9,Moderate,0.0
Sedawgyi,Complete,Multi-purpose,Ma Gyi Chaung,Mandalay,22.348646,96.326937,41.0,25.0,448.0,339.6,45.4,760,0.071,10.0,2.2,1.5,3.0,4.9,Moderate,0.0
Lower Nam Pawn,Planned,Hydropower,Nam Pawn,,19.480045,97.417853,0.0,,0.0,430.4,131.8,760,0.0418,8.4,0.8,1.2,10.0,4.9,Moderate,0.0
Pisa,Proposed,Hydropower,N'Mai  Hka,Kachin,26.598389,98.34309,153.0,2000.0,535.0,442.3,131.0,760,0.042,8.4,0.8,1.1,10.0,4.9,Moderate,0.0
Chipwi,Proposed,Hydropower,N'Mai  Hka,Kachin,25.8905,98.12572,203.0,3400.0,1910.0,376.3,141.9,760,0.0403,8.1,0.7,1.3,10.0,4.8,Moderate,0.0
Ywathit,Proposed,Hydropower,Thanlwin Mainstem,Kayah,19.131059,97.521257,167.0,4000.0,10757.0,458.9,136.9,760,0.0411,8.2,0.7,1.1,10.0,4.8,Moderate,0.0
Wutsok,Proposed,Hydropower,N'Mai  Hka,Kachin,26.403585,98.292511,165.0,1800.0,605.0,423.3,135.9,760,0.0412,8.2,0.7,1.2,10.0,4.8,Moderate,0.0
Nyaung-gaing,Complete,Irrigation,Nyaung-gaing,,18.797819,95.14163,0.0,,21.6,636.8,129.7,760,0.0422,8.4,0.8,0.8,10.0,4.8,Moderate,0.0
Lakin,Planned,Hydropower,May Hka,,26.595833,98.406111,0.0,,0.0,440.2,137.3,760,0.041,8.2,0.7,1.1,10.0,4.8,Moderate,0.0
North Yamar (1),Complete,Irrigation,,,22.053354,94.67744,0.0,,17.339,511.4,137.7,760,0.0409,8.2,0.7,1.0,10.0,4.8,Moderate,0.0
Namtu,Planned,Hydropower,,,22.857605,97.307334,0.0,,0.0,235.9,154.9,760,0.0386,7.7,0.6,2.1,10.0,4.8,Moderate,0.0
Shwenattaung,Complete,Irrigation,Shwenattaung,,16.411455,97.657402,0.0,,69.104,735.6,132.7,760,0.0417,8.3,0.8,0.7,10.0,4.8,Moderate,0.0
Upper Nam Pawn,Planned,Hydropower,Nam Pawn,,19.995674,97.40098,0.0,,0.0,383.8,144.3,760,0.04,8.0,0.7,1.3,10.0,4.8,Moderate,0.0
Tum Baing,Planned,Hydropower,Tum Baing Hka,,25.48725,97.963157,0.0,,0.0,343.7,144.8,760,0.0399,8.0,0.7,1.5,10.0,4.8,Moderate,0.0
Mēntóu xī,Complete,Hydropower,Měng nǎi hé,,24.835331,97.768566,0.0,,0.0,295.2,158.6,760,0.0382,7.6,0.6,1.7,10.0,4.7,Moderate,0.0
Hutgyi,Proposed,Hydropower,Thanlwin Mainstem,Kayin,17.528,97.747,118.0,1360.0,509.0,614.3,142.6,760,0.0402,8.0,0.7,0.8,10.0,4.7,Moderate,0.0
Yeywa (upper),Under Construction,Hydropower,Lower Myitnge,Shan,22.254093,97.046741,97.0,280.0,341.0,269.0,125.3,760,0.0429,8.6,0.8,1.9,7.3,4.7,Moderate,0.0
Hlaing Chaung,Complete,Irrigation,,,21.999294,94.580082,0.0,,6.624,522.2,148.5,760,0.0394,7.9,0.7,1.0,10.0,4.7,Moderate,0.0
Myet Taw Chaung,Identified Sites,,Myet Taw Chaung,Kayin,15.682011,97.915769,0.0,,0.0,807.7,139.2,760,0.0407,8.1,0.7,0.6,10.0,4.7,Moderate,0.0
Khawar,Complete,Irrigation,Khawar,,18.450999,95.011249,0.0,,15.477,673.4,149.8,760,0.0393,7.9,0.7,0.7,10.0,4.6,Moderate,0.0
Ma Mya,Complete,Irrigation,Ma Mya,,18.106536,95.081046,0.0,,86.38,696.5,146.3,760,0.0397,7.9,0.7,0.7,10.0,4.6,Moderate,0.0
Deedoke,Proposed,Hydropower,Lower Myitnge,Mandalay,21.68723,96.404455,27.0,60.0,13.0,350.2,54.0,760,0.0652,10.0,1.9,1.4,1.9,4.6,Moderate,0.0
Kanyin,Complete,Irrigation,Kanyin,,17.991848,95.072583,0.0,,183.619,706.6,148.6,760,0.0394,7.9,0.7,0.7,10.0,4.6,Moderate,0.0
