name,name_en,place,lat,lon
Tumbin,Tumbin,village,28.4579,94.6843
Naharlagun,Naharlagun,town,27.103,93.6924
Helem,,village,26.8436,93.476
Bishwanath Charaili,,town,26.7284,93.1495
Chutia,,village,26.738,93.0363
Khunamukh,,village,26.8039,92.8455
Balipara,,village,26.8225,92.7799
Pinjoli,Pinjoli,village,27.0923,92.59
Majarbari Ghat,,village,27.5947,94.9084
Kharupetia,,town,26.5175,92.1469
Dalgoan,,town,26.5562,92.2003
Lichi,,village,27.3762,93.8791
Bokakhat,Bokakhat,village,26.6402,93.6005
Pahumara,,village,27.2013,94.0532
Dergaon,,town,26.7146,93.9702
Babuk,Babuk,village,28.1374,95.1031
ปากเกร็ด,Pak Kret,city,13.9121,100.4974
นนทบุรี,Nonthaburi,city,13.8429,100.4938
นครปฐม,Nakhon Pathom,city,13.819,100.064
บ้านป่าซาง,Ban Pa Sang,village,20.1713,99.8528
แม่สลอง,Mae Salong,village,20.1628,99.6258
জালিয়াপালং,Jaliapalong,village,21.206,92.0534
সোনার পাড়া,Sonar Para,village,21.2908,92.0481
পেঁচার দ্বীপ,PecharDwip,village,21.3214,92.0405
শামলাপুর,Shamlapur,village,21.0774,92.1424
মিয়াপাড়া,MiaPara,village,21.0259,92.1868
জাহাজপুরা,JahajPura,village,21.0121,92.1921
ชลบุรี,Chon Buri,town,13.3662,100.9872
สระบุรี,Saraburi,town,14.5249,100.9161
พะเยา,Phayao,town,19.1668,99.9021
মনখালী,Monkhali,village,21.0987,92.1273
ছেপটখালী,Chepotkhali,village,21.1075,92.1196
সুবহানখালী,Subhan Khali,village,21.1272,92.095
শিলখালি,ShilKhali,village,21.0358,92.1796
শাহপরীর দ্বীপ,Shahporir Dwip,village,20.7686,92.3299
কোর্ট বাজার,Court Bazar,village,21.2756,92.1023
สมุทรสาคร,Samut Sakhon,city,13.5498,100.2743
ระยอง,Rayong,city,12.6818,101.2778
พระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya,city,14.3535,100.5646
迁糯,Qiannuo,village,23.3006,100.3519
Govind Nagar,,village,12.0308,92.9949
,,village,12.0025,93.0065
Vijay Nagar,,village,12.0194,93.0065
诺邓,Nuodeng,village,25.918,99.3781
象图乡,Xiangtu,town,26.2702,99.5347
อู่ทอง,U Thong,town,14.3764,99.8963
หนองไผ่,Nong Phai,town,15.9888,101.0634
เพชรบูรณ์,Phetchabun,town,16.418,101.1557
หล่มเก่า,Lom Kao,town,16.8876,101.2272
กำแพงเพชร,Kamphaeng Phet,town,16.4748,99.528
พิจิตร,Phichit,town,16.4428,100.3438
แพร่,Phrae,town,18.1418,100.1426
อุทัยธานี,Uthai Thani,town,15.3823,100.0281
茨拉,Cila,village,26.2299,101.213
ลำนารายณ์,Lam Narai,town,15.2064,101.1339
孟定镇,Mengding,town,23.5572,99.0807
南伞镇,Nansan,town,23.7739,98.8255
ညောင်ရွှေ,Nyaung Shwe,town,20.6588,96.9317
大理镇,Dali,town,25.6958,100.1602
สุพรรณบุรี,Suphan Buri,town,14.4699,100.1165
保山市,Baoshan,city,25.1147,99.1592
宾川县,Binchuan,city,25.8337,100.5892
沧源县,Cangyuan,city,23.1504,99.2485
大理市,Dali,city,25.597,100.2469
茈碧湖镇,Cibihu,town,26.1146,99.9499
凤庆县,Fengqing County,city,24.5973,99.9086
福贡县,Fugong,city,26.9058,98.8679
耿马县,Gengma,city,23.5348,99.4004
贡山县,Gongshan,city,27.7444,98.6672
鹤庆县,Heqing,city,26.5636,100.1752
剑川县,Jianchuan,city,26.5401,99.9046
景东县,Jingdong,city,24.4521,100.8379
景洪市 ᦵᦋᧂ ᦣᦳᧂᧈ ᦉᦹᧈ,Jinghong,city,22.0148,100.7984
澜沧县,Lancang,city,22.5566,99.9276
丽江市,Lijiang,city,26.8596,100.225
梁河县,Lianghe,city,24.8089,98.2952
龙陵县,Longling,city,24.5962,98.6913
芒市,Mangshi,city,24.4369,98.5887
孟连县,Menglian,city,22.3288,99.5917
弥渡县,Midu,city,25.3469,100.4898
龙川镇,Longchuan,town,25.1941,101.2716
南涧镇,Nanjian,town,25.0471,100.521
宁蒗县,Ninglang,city,27.2819,100.8475
宁洱县,Ning'er,city,23.063,101.0416
施甸县,Shidian,city,24.7293,99.1869
勐勐镇,Mengmeng,town,23.4785,99.8265
巍山县,Weishan,city,25.2303,100.3053
维西县 འབའ་ལུང།,Weixi,city,27.1845,99.2853
西盟县,Ximeng,city,22.647,99.5932
